site,year,link,title,data_science_count,analytics_count,big_data_count,robotics_count,artificial_intelligence_count,article_length
ABS-CBN,2022,https://news.abs-cbn.com/news/08/04/22/up-opens-phs-first-phd-program-in-artificial-intelligence,UP opens PH's first PhD program in artificial intelligence | ABS-CBN News,0.0,0,0,0,2.0,578
ABS-CBN,2022,https://news.abs-cbn.com/business/05/18/22/the-bots-at-heart-of-twitter-buyout-row,The 'bots' at heart of Twitter buyout row | ABS-CBN News,0.0,0,0,0,1.0,945
ABS-CBN,2018,https://news.abs-cbn.com/business/11/22/18/robot-concierge-coming-to-sm-as-henry-sy-turns-to-ai,Robot concierge coming to SM as Henry Sy turns to AI | ABS-CBN News,0.0,0,0,0,1.0,881
ABS-CBN,2022,https://news.abs-cbn.com/spotlight/09/28/22/no-human-could-do-that-is-ai-becoming-too-alien,No human could do that: Is AI becoming too alien? | ABS-CBN News,0.0,0,0,0,1.0,1433
ABS-CBN,2021,https://news.abs-cbn.com/business/05/05/21/philippines-lays-out-ai-industry-road-map,Philippines lays out AI industry road map | ABS-CBN News,0.0,5,1,0,1.0,1193
ABS-CBN,2022,https://news.abs-cbn.com/business/08/22/22/ph-ai-research-center-to-open-in-september,PH AI research center to open in September | ABS-CBN News,0.0,0,0,0,2.0,1017
ABS-CBN,2019,https://news.abs-cbn.com/business/04/30/19/philippines-must-elevate-big-data-talent-pool-ayala-corp,Philippines must 'elevate' big data talent pool: Ayala Corp | ABS-CBN News,1.0,0,1,0,0.0,489
ABS-CBN,2022,https://news.abs-cbn.com/business/02/14/22/presidential-aspirants-urged-to-use-tech-big-data-to-gain-support,"Presidential aspirants urged to use tech, big data to gain support | ABS-CBN News",0.0,0,0,0,0.0,748
ABS-CBN,2022,https://news.abs-cbn.com/spotlight/02/02/22/despite-crackdown-demand-keeps-china-on-wildlife-smuggling-map,"Despite crackdown, ‘demand keeps China’ on wildlife smuggling map | ABS-CBN News",0.0,0,1,0,0.0,1423
ABS-CBN,2019,https://news.abs-cbn.com/spotlight/09/17/19/will-dito-telecommunity-expose-philippines-to-unhampered-espionage,Will Dito Telecommunity expose Philippines to unhampered espionage? | ABS-CBN News,0.0,0,1,0,1.0,1770
ABS-CBN,2020,https://news.abs-cbn.com/business/03/02/20/in-coronavirus-fight-china-gives-citizens-a-color-code-with-red-flags,"In coronavirus fight, China gives citizens a color code, with red flags | ABS-CBN News",0.0,0,1,0,0.0,1956
ABS-CBN,2022,https://news.abs-cbn.com/business/05/19/22/tencent-plunges-8-pct-following-poor-results,Tencent plunges 8 pct following poor results | ABS-CBN News,0.0,0,0,0,0.0,423
ABS-CBN,2022,https://news.abs-cbn.com/business/03/01/22/raise-facts-reduce-fakes-googles-move-in-halalan-2022,"Raise facts, reduce fakes: Google's move in Halalan 2022 | ABS-CBN News",0.0,0,1,0,0.0,988
ABS-CBN,2017,https://news.abs-cbn.com/business/07/31/17/tapping-big-data-analytics-to-boost-business,Tapping 'big data analytics' to boost business | ABS-CBN News,1.0,2,2,0,0.0,397
ABS-CBN,2019,https://news.abs-cbn.com/video/business/05/08/19/open-source-software-helps-organizations-mine-big-data,Open source software helps organizations mine big data | ABS-CBN News,0.0,1,1,0,0.0,407
ABS-CBN,2020,https://news.abs-cbn.com/spotlight/04/08/20/ways-the-philippines-can-fight-the-coronavirus-contagion-according-to-a-data-scientist,"Ways the Philippines can fight the coronavirus contagion, according to a data scientist | ABS-CBN News",0.0,0,0,0,0.0,952
ABS-CBN,2018,https://news.abs-cbn.com/business/03/01/18/ai-killing-jobs-philippines-can-be-global-hub-says-tech-startup,"AI killing jobs? Philippines can be global hub, says tech startup | ABS-CBN News",1.0,0,0,0,2.0,635
ABS-CBN,2022,https://news.abs-cbn.com/video/life/06/26/22/mga-batang-fil-am-wagi-sa-world-robotics-competition,"Mga batang Fil-Am, wagi sa world robotics competition | ABS-CBN News",,0,0,1,,364
ABS-CBN,2019,https://news.abs-cbn.com/overseas/08/05/19/ph-robotics-team-wins-gold-in-denmark-tourney,PH robotics team wins gold in Denmark tourney | ABS-CBN News,,0,0,3,,739
ABS-CBN,2009,https://news.abs-cbn.com/nation/youth/03/30/09/pinoy-team-qualifies-world-robotics-championships-final,(2nd update) Pinoy team qualifies for world robotics championships final | ABS-CBN News,,0,0,7,,1286
ABS-CBN,2017,https://news.abs-cbn.com/business/11/10/17/filipino-teens-showcase-diy-droids-in-world-robot-games,Filipino teens showcase DIY droids in World Robot Games | ABS-CBN News,,0,0,5,,655
ABS-CBN,2020,https://news.abs-cbn.com/life/04/14/20/ust-engineer-creates-robot-to-assist-covid-19-medical-frontliners,UST engineer creates robot to assist COVID-19 medical frontliners | ABS-CBN News,,0,0,1,,1080
ABS-CBN,2022,https://news.abs-cbn.com/news/09/03/22/ph-covid-19-situation-improving-says-analyst,"PH COVID-19 situation 'improving,' says analyst | ABS-CBN News",,1,0,0,,571
ABS-CBN,2022,https://www.abs-cbn.com/newsroom/news-releases/2022/5/3/halalan-2022-abs-cbn-news-special-coverage-may-9?lang=en,"“Halalan 2022: The ABS-CBN News Special Coverage” goes digital, streams on YouTube starting May 9  ",,2,0,0,,765
ABS-CBN,2022,https://news.abs-cbn.com/news/07/16/22/doh-active-covid-19-cases-near-19000,"DOH: Active COVID-19 cases near 19,000 | ABS-CBN News",,1,0,0,,414
ABS-CBN,2022,https://news.abs-cbn.com/news/06/27/22/covid-19-cases-up-by-53-pct-health-dept,COVID-19 cases up by 53 pct: health dept | ABS-CBN News,,1,0,0,,754
ABS-CBN,2022,https://news.abs-cbn.com/news/07/06/22/philippines-records-1198-new-covid-19-cases-12-new-deaths,"Philippines records 1,198 new COVID-19 cases, 12 new deaths | ABS-CBN News",,1,0,0,,553
ABS-CBN,2022,https://news.abs-cbn.com/news/05/29/22/philippines-confirms-200-new-covid-19-cases,Philippines confirms 200 new COVID-19 cases | ABS-CBN News,,1,0,0,,550
PhilStar,2022,https://www.philstar.com/business/2022/04/27/2176961/moodys-analytics-cuts-philippines-2022-target,Moody’s Analytics cuts Philippines 2022 target | Philstar.com,,5,0,0,,462
Inquirer,2022,https://business.inquirer.net/341500/celebrating-10-years-of-information-and-analytics-knowledge-services,Celebrating 10 years of information and analytics knowledge services,,5,0,0,,824
ABS-CBN,2017,https://news.abs-cbn.com/business/10/20/17/big-data-nears-boom-in-philippines-research-firm,Big data nears boom in Philippines: research firm | ABS-CBN News,,1,3,0,,400
